1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
1,2,16,512,2,2,4096,4096,4096,2,2,2,2,2,2,2,4096,4096,4096,2,2,512,16,2,1
1,1,512,1,4,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,4,1,512,1,1
1,1,2,4,1024,4,4,4,4,1,1,128,128,128,1,1,1,1,1,1,1024,4,2,1,1
1,1,2,1,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,1,4,1,2,1,1
1,1,4096,1,1,1,1,1,4,1,1,512,1,512,1,1,1,1,1,1,4,1,4096,1,1
1,1,4096,1,1,1,1,1,4,1,1,2,1,2,1,1,1024,1,1,1,4,1,4096,1,1
1,1,4096,1,1,1,1,1024,8,4,4,2,4,2,4,4,8,4,4,4,4,4,4096,1,1
1,1,2,1,1,1,1,1,4,1,1,2,1,2,1,1,4,1,1,1,1,1,2,1,1
1,1,2,1,1,1,1,1,4,1,2,2,4,2,2,1,4,1,1,1,1,1,2,1,1
1,1,2,1,2,2,2,512,2,2,2,1,1,1,2,2,2,512,2,2,2,1,2,1,1
1,1,128,1,2,1,1,1,4,1,2,512,2,512,2,1,4,1,1,1,2,1,128,1,1
1,1,128,2,2,1,1,1,4,1,4,1,32,1,4,1,4,1,1,1,2,2,128,1,1
1,1,128,1,2,1,1,1,4,1,2,512,2,512,2,1,4,1,1,1,2,1,128,1,1
1,1,2,1,2,2,2,512,2,2,2,1,1,1,2,2,2,512,2,2,2,1,2,1,1
1,1,2,1,1,1,1,1,4,1,2,2,4,2,2,1,4,1,1,1,1,1,2,1,1
1,1,2,1,1,1,1,1,4,1,1,2,1,2,1,1,4,1,1,1,1,1,2,1,1
1,1,4096,4,4,4,4,4,8,4,4,2,4,2,4,4,8,1024,1,1,1,1,4096,1,1
1,1,4096,1,4,1,1,1,1024,1,1,2,1,2,1,1,4,1,1,1,1,1,4096,1,1
1,1,4096,1,4,1,1,1,1,1,1,512,1,512,1,1,4,1,1,1,1,1,4096,1,1
1,1,2,1,4,1,1,1,1,1,1,2,1,2,1,1,4,1,1,1,1,1,2,1,1
1,1,2,4,1024,1,1,1,1,1,1,128,128,128,1,1,4,4,4,4,1024,4,2,1,1
1,1,512,1,4,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,4,1,512,1,1
1,2,16,512,2,2,4096,4096,4096,2,2,2,2,2,2,2,4096,4096,4096,2,2,512,16,2,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
